Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
147.7,49.234,15.2352,0.181564331650975,-0.321320140875615,70.3342857142857,-32.1320140875615
147.71,49.2373,15.2332,0.181570297929651,-0.321296998793114,70.339,-32.1296998793114
147.72,49.2406,15.2315,0.181565575624821,-0.321315315737749,70.3437142857143,-32.1315315737749
147.73,49.2439,15.2323,0.181584827736743,-0.321240640140928,70.3484285714286,-32.1240640140928
147.74,49.2473,15.2334,0.181589780836486,-0.321221427831183,70.3532857142857,-32.1221427831183
147.75,49.2508,15.2341,0.181600722189084,-0.321178987872477,70.3582857142857,-32.1178987872477
147.76,49.2539,15.2329,0.181599741258197,-0.321182792772465,70.3627142857143,-32.1182792772465
147.77,49.2573,15.2316,0.181617940402452,-0.321112200468601,70.3675714285714,-32.1112200468601
147.78,49.2604,15.2308,0.181606297715877,-0.321157361118757,70.372,-32.1157361118757
147.79,49.2637,15.2325,0.181616210406091,-0.321118910940507,70.3767142857143,-32.1118910940507
147.8,49.2672,15.2346,0.181614309649339,-0.321126283768251,70.3817142857143,-32.1126283768251
147.81,49.2706,15.2355,0.18162455081664,-0.321086559330576,70.3865714285714,-32.1086559330576
147.82,49.2739,15.2365,0.181623000262442,-0.32109257378214,70.3912857142857,-32.109257378214
147.83,49.2773,15.2364,0.181632274831156,-0.321056598558698,70.3961428571428,-32.1056598558698
147.84,49.2807,15.2368,0.181640506867239,-0.321024667110172,70.401,-32.1024667110172
147.85,49.2841,15.2391,0.181635637380955,-0.321043555494233,70.4058571428571,-32.1043555494233
147.86,49.2875,15.2402,0.181632053797373,-0.321057455930605,70.4107142857143,-32.1057455930605
147.87,49.2909,15.2388,0.181644073836391,-0.321010831071359,70.4155714285714,-32.1010831071359
147.88,49.2942,15.2364,0.181658602324535,-0.32095447580944,70.4202857142857,-32.095447580944
147.89,49.2975,15.2365,0.181667114014059,-0.320921459243541,70.425,-32.0921459243541
147.9,49.3008,15.2373,0.181679406691475,-0.320873776143111,70.4297142857143,-32.0873776143111
147.91,49.3041,15.2374,0.181691825191139,-0.320825604733132,70.4344285714286,-32.0825604733132
147.92,49.3073,15.2374,0.181697170753804,-0.320804869197679,70.439,-32.0804869197679
147.93,49.3106,15.2385,0.181703681452336,-0.320779614016716,70.4437142857143,-32.0779614016716
147.94,49.3139,15.24,0.181713856485043,-0.320740144644739,70.4484285714286,-32.0740144644739
147.95,49.3172,15.2415,0.181725203637869,-0.320696128373818,70.4531428571429,-32.0696128373818
147.96,49.3204,15.2417,0.181735414856164,-0.320656518282295,70.4577142857143,-32.0656518282295
147.97,49.3237,15.2413,0.181730164914705,-0.320676883225027,70.4624285714286,-32.0676883225027
147.98,49.327,15.2406,0.181714176989372,-0.320738901392506,70.4671428571428,-32.0738901392506
147.99,49.3303,15.2408,0.181718540965591,-0.320721973295241,70.4718571428571,-32.0721973295241
148,49.3338,15.2398,0.18171696824604,-0.320728073962067,70.4768571428571,-32.0728073962067
148.01,49.3373,15.2385,0.181722706141976,-0.320705816324569,70.4818571428571,-32.0705816324569
148.02,49.3407,15.2391,0.181727399773769,-0.320687609409988,70.4867142857143,-32.0687609409988
148.03,49.3441,15.2408,0.181727387726623,-0.320687656141726,70.4915714285714,-32.0687656141726
148.04,49.3475,15.2417,0.181729772880807,-0.320678403954084,70.4964285714286,-32.0678403954084
148.05,49.3508,15.2422,0.181745325428584,-0.320618074258414,70.5011428571429,-32.0618074258414
148.06,49.3542,15.2422,0.181752618264808,-0.320589784573511,70.506,-32.0589784573511
148.07,49.3576,15.2419,0.181761211943007,-0.320556448674756,70.5108571428571,-32.0556448674756
148.08,49.361,15.2422,0.181760149598304,-0.320560569642517,70.5157142857143,-32.0560569642517
148.09,49.3643,15.2435,0.181762506363795,-0.320551427452422,70.5204285714286,-32.0551427452422
148.1,49.3676,15.2445,0.181757761417549,-0.320569833687254,70.5251428571429,-32.0569833687254
148.11,49.3708,15.2431,0.181748171548916,-0.320607033866087,70.5297142857143,-32.0607033866087
148.12,49.374,15.2418,0.181743304678941,-0.32062591294537,70.5342857142857,-32.062591294537
148.13,49.3772,15.2428,0.181742021231989,-0.320630891559132,70.5388571428572,-32.0630891559132
148.14,49.3805,15.2445,0.181739573527455,-0.320640386432309,70.5435714285714,-32.0640386432309
148.15,49.3838,15.2453,0.181739540587064,-0.320640514211079,70.5482857142857,-32.0640514211079
148.16,49.3871,15.2445,0.181739541516637,-0.320640510605181,70.553,-32.0640510605181
148.17,49.3904,15.2456,0.181737135306164,-0.320649844509512,70.5577142857143,-32.0649844509512
148.18,49.3938,15.2479,0.181764695937672,-0.320542933811638,70.5625714285714,-32.0542933811638
148.19,49.3973,15.2477,0.181776818973266,-0.320495906846012,70.5675714285714,-32.0495906846012
148.2,49.4007,15.2463,0.181762493011735,-0.320551479246769,70.5724285714286,-32.0551479246769
148.21,49.4042,15.2455,0.181758844813713,-0.320565631062394,70.5774285714286,-32.0565631062394
148.22,49.4077,15.245,0.181755301503559,-0.320579375984366,70.5824285714286,-32.0579375984366
148.23,49.4111,15.2456,0.18175531097056,-0.320579339260767,70.5872857142857,-32.0579339260767
148.24,49.4144,15.2457,0.181755255389057,-0.320579554867876,70.592,-32.0579554867876
148.25,49.4177,15.2471,0.181738233315421,-0.32064558523515,70.5967142857143,-32.064558523515
148.26,49.4209,15.2497,0.181736733597961,-0.320651402770437,70.6012857142857,-32.0651402770437
148.27,49.4242,15.2506,0.181726870015317,-0.320689664380565,70.606,-32.0689664380565
148.28,49.4275,15.2502,0.181719345826789,-0.32071885119224,70.6107142857143,-32.071885119224
148.29,49.4307,15.2508,0.181716511177256,-0.32072984695662,70.6152857142857,-32.072984695662
148.3,49.434,15.2522,0.181720926636432,-0.32071271913743,70.62,-32.071271913743
148.31,49.4372,15.2515,0.181694156054021,-0.320816563278992,70.6245714285714,-32.0816563278992
148.32,49.4404,15.2486,0.181703236728255,-0.320781339115987,70.6291428571429,-32.0781339115987
148.33,49.4437,15.247,0.181708838714692,-0.32075960880394,70.6338571428571,-32.075960880394
148.34,49.447,15.2475,0.181748244899424,-0.320606749331782,70.6385714285714,-32.0606749331782
148.35,49.4503,15.2469,0.181760366938976,-0.32055972655106,70.6432857142857,-32.055972655106
148.36,49.4537,15.2467,0.181784706245172,-0.320465310878333,70.6481428571429,-32.0465310878333
148.37,49.4571,15.2494,0.181796039162407,-0.320421348535364,70.653,-32.0421348535364
148.38,49.4605,15.2518,0.18177745553853,-0.320493437512995,70.6578571428572,-32.0493437512995
148.39,49.464,15.2519,0.181788719345806,-0.320449743391626,70.6628571428571,-32.0449743391626
148.4,49.4675,15.2503,0.181785720110948,-0.320461377926334,70.6678571428571,-32.0461377926334
148.41,49.4709,15.2496,0.181781438369398,-0.320477987494356,70.6727142857143,-32.0477987494356
148.42,49.4744,15.2511,0.181788024070936,-0.320452440480669,70.6777142857143,-32.0452440480669
148.43,49.4778,15.2527,0.181772973491068,-0.32051082403968,70.6825714285714,-32.051082403968
148.44,49.4811,15.2525,0.181767331630743,-0.320532709606452,70.6872857142857,-32.0532709606452
148.45,49.4844,15.252,0.181835106959747,-0.320269796217788,70.692,-32.0269796217788
148.46,49.4877,15.252,0.181837321375279,-0.320261205954088,70.6967142857143,-32.0261205954088
148.47,49.491,15.2529,0.181782799921971,-0.320472705814903,70.7014285714286,-32.0472705814903
148.48,49.4943,15.2536,0.181798715523243,-0.320410966439329,70.7061428571429,-32.0410966439329
148.49,49.4975,15.2529,0.181869026991915,-0.320138211185846,70.7107142857143,-32.0138211185846
148.5,49.5007,15.2529,0.181895454711607,-0.320035689588021,70.7152857142857,-32.0035689588021
148.51,49.5038,15.2546,0.181952185544337,-0.319815608700583,70.7197142857143,-31.9815608700583
148.52,49.5069,15.2553,0.181990298454083,-0.319667751041624,70.7241428571429,-31.9667751041624
148.53,49.5102,15.255,0.18201086117159,-0.319587977749072,70.7288571428571,-31.9587977749072
148.54,49.5137,15.2545,0.181961867404492,-0.319778048494894,70.7338571428571,-31.9778048494894
148.55,49.5171,15.2534,0.181947264135835,-0.319834700956864,70.7387142857143,-31.9834700956864
148.56,49.5205,15.2524,0.181937165561306,-0.319873877540524,70.7435714285714,-31.9873877540524
148.57,49.5241,15.2527,0.181947280326866,-0.319834638144966,70.7487142857143,-31.9834638144966
148.58,49.5275,15.2538,0.18187667989067,-0.320108523253623,70.7535714285714,-32.0108523253623
148.59,49.5309,15.2551,0.181875054388685,-0.320114829080302,70.7584285714286,-32.0114829080302
148.6,49.5343,15.2548,0.181915685011824,-0.319957209007334,70.7632857142857,-31.9957209007334
