Tempo,Spostamento,Forza,Voltaggio,R_sensore
18.128,3.3155,3.408,0.161639245894275,10022.3559657335
18.138,3.3714,3.4732,0.161174073079419,9992.55246088114
18.148,3.4274,3.5412,0.16079855573304,9968.49733896942
18.158,3.4833,3.6083,0.160360264313882,9940.42571793711
18.168,3.5393,3.6731,0.159964127938901,9915.05841076222
18.178,3.5951,3.7394,0.159490517446214,9884.73535819222
18.188,3.6511,3.8057,0.159175319323117,9864.55799309342
18.198,3.7071,3.8709,0.158806247691309,9840.93526202564
18.208,3.7631,3.934,0.158513827384815,9822.22121885305
18.218,3.8193,3.9957,0.158132012329656,9797.78957619254
18.228,3.8755,4.058,0.157866001846953,9780.77033228539
18.238,3.9316,4.1226,0.15743471092697,9753.18048569502
18.248,3.9876,4.1883,0.157108575101083,9732.32071402649
18.258,4.0434,4.2539,0.156876593720362,9717.4848064136
18.268,4.0988,4.3175,0.156607171616832,9700.25623561353
18.278,4.1545,4.3806,0.156386165377128,9686.12511546169
18.288,4.2109,4.4436,0.156198334148655,9674.11621639145
18.298,4.2675,4.5079,0.155995521339789,9661.15052289974
18.308,4.3235,4.5741,0.155852338241901,9651.9975725928
18.318,4.3795,4.6389,0.155775188488993,9647.06601470075
18.328,4.4353,4.7033,0.1555507888484,9632.72285879265
18.338,4.4912,4.768,0.155411579843259,9623.82557803932
18.348,4.5467,4.833,0.155379252732991,9621.7595249728
18.358,4.6023,4.897,0.155253893126342,9613.74794683685
18.368,4.6586,4.9613,0.155171459092497,9608.47991516941
18.378,4.7149,5.0256,0.155039213497729,9600.02899897502
18.388,4.7711,5.0902,0.154893473269106,9590.71626688978
18.398,4.8273,5.1546,0.154755090600509,9581.87419795603
18.408,4.8832,5.218,0.154566298757051,9569.81200985589
18.418,4.939,5.2822,0.154521830429791,9566.97099990217
18.428,4.9943,5.3468,0.154402894623871,9559.37263867208
18.438,5.0502,5.4128,0.154331464982778,9554.80944688037
18.448,5.1068,5.4803,0.154201258423601,9546.49171253679
18.458,5.1634,5.5454,0.154084088454051,9539.00715158477
18.468,5.2198,5.6106,0.153943399540758,9530.02073022645
18.478,5.2758,5.6756,0.153859052213847,9524.63334464926
18.488,5.3315,5.7407,0.153845355962662,9523.7585630053
18.498,5.3872,5.808,0.153701324913892,9514.55957743841
18.508,5.4427,5.8749,0.153592870014476,9507.63313285248
18.518,5.4983,5.9399,0.153463601657266,9499.37784701723
18.528,5.5546,6.0052,0.15332061443618,9490.24696534642
18.538,5.6112,6.0713,0.153171334897419,9480.71484351784
18.548,5.6676,6.1398,0.153157137223581,9479.8082933422
18.558,5.7237,6.2084,0.153041317076823,9472.41314121486
18.568,5.7796,6.2734,0.152936291119653,9465.70750696695
18.578,5.8351,6.337,0.152950562571757,9466.61868501033
18.588,5.8904,6.4037,0.152823872410523,9458.53018672065
18.598,5.9465,6.4743,0.152741372235811,9453.26321320696
18.608,6.0031,6.5442,0.15268348944242,9449.56796878467
18.618,6.0599,6.6126,0.152760966155843,9454.51411138852
18.628,6.1162,6.6806,0.152739730644437,9453.15841260221
18.638,6.1722,6.7481,0.15273058678181,9452.57466184922
18.648,6.2279,6.8152,0.152531996805271,9439.89707852088
