Tempo,Spostamento,Forza,Voltaggio,R_sensore
70.322,0.5851,-0.2161,0.208849304681873,13077.1907186696
70.332,0.6138,-0.1804,0.208093767442977,13027.828008976
70.342,0.6422,-0.1483,0.207265161248499,12973.7092634041
70.352,0.6707,-0.1182,0.20647436667467,12922.0775563958
70.362,0.6989,-0.0843,0.205650453493397,12868.3016224742
70.372,0.7272,-0.0458,0.204786523745498,12811.9336976081
70.382,0.7553,-0.0056,0.203936378343337,12756.4849696193
70.392,0.7835,0.0392,0.203064349771909,12699.6293829116
70.402,0.8116,0.0885,0.202124785162065,12638.3936291406
70.412,0.8396,0.1391,0.201418771092437,12592.3952195944
70.422,0.8677,0.1891,0.200754402737095,12549.1224819744
70.432,0.8958,0.2365,0.199710014597839,12481.1218825423
70.442,0.9237,0.2835,0.198895856518607,12428.132190508
70.452,0.9515,0.3304,0.198206099495798,12383.2532342748
70.462,0.9794,0.378,0.197605526386555,12344.1875176408
70.472,1.0074,0.425,0.196956579111645,12301.9861691288
70.482,1.0355,0.473,0.196190295462185,12252.1690613717
70.492,1.0634,0.5207,0.195550827563025,12210.6085762066
70.502,1.0914,0.5676,0.194673128931573,12153.582939611
70.512,1.1194,0.6136,0.193938065018007,12105.8405597971
70.522,1.1474,0.6578,0.193317474957983,12065.5446215242
70.532,1.1756,0.702,0.192689138055222,12024.7562674117
70.542,1.2038,0.7445,0.191857132965186,11970.7632408709
70.552,1.232,0.7862,0.191289058295318,11933.9087302785
70.562,1.2602,0.829,0.190701233901561,11895.7820989941
70.572,1.2883,0.8728,0.190199990732293,11863.2785375156
70.582,1.3163,0.9163,0.18949068062425,11817.2942641034
70.592,1.3443,0.9584,0.188844559567827,11775.4183110033
70.602,1.3723,1.0003,0.188177212821128,11732.1784993326
70.612,1.4,1.0406,0.187504867995198,11688.6269711666
70.622,1.4278,1.0795,0.186989561104442,11655.2559034559
70.632,1.4556,1.1167,0.186621032316927,11631.3945091315
70.642,1.4835,1.1551,0.186148736854742,11600.8198018015
70.652,1.5116,1.1968,0.185536233901561,11561.1775006825
70.662,1.5396,1.2367,0.185009924033613,11527.121828791
70.672,1.5674,1.273,0.184423802496999,11489.2047140253
70.682,1.5954,1.3082,0.18380947879952,11449.4730632274
70.692,1.6237,1.346,0.183231901656663,11412.1272551828
70.702,1.652,1.3863,0.182662964897959,11375.3488846825
70.712,1.6803,1.4274,0.182220576326531,11346.7571033539
70.722,1.7084,1.4671,0.181820920672269,11320.9316846918
70.732,1.7366,1.5073,0.181383303961585,11292.6581674804
70.742,1.7646,1.5446,0.180690191980792,11247.8881320389
70.752,1.7926,1.5775,0.180320272460984,11223.9992689135
70.762,1.8202,1.6114,0.179949659879952,11200.069325965
70.772,1.8479,1.6475,0.179511023769508,11171.7519522188
70.782,1.8755,1.6827,0.178981952364946,11137.6031325632
70.792,1.9032,1.7167,0.178503298007203,11106.7149294175
70.802,1.9315,1.7521,0.177909563841537,11068.4089937933
70.812,1.9597,1.7901,0.177465962977191,11039.7953616155
70.822,1.9877,1.8304,0.176955317070828,11006.8636330791
70.832,2.0156,1.8676,0.176401000672269,10971.1234721328
70.842,2.0437,1.9024,0.176022366002401,10946.7153057589
70.852,2.072,1.9373,0.175509535942377,10913.6625256027
70.862,2.1004,1.9715,0.175322387322929,10901.6022249193
70.872,2.1285,2.005,0.17484247270108,10870.6796645636
70.882,2.1565,2.0389,0.174594089891957,10854.6779158759
70.892,2.1845,2.0731,0.174230013493397,10831.2257306439
70.902,2.2124,2.1058,0.174027596542617,10818.1884598806
70.912,2.2403,2.1393,0.173529778343337,10786.1296376407
70.922,2.2683,2.1751,0.173157590252101,10762.1655454758
70.932,2.2964,2.2123,0.172799677070828,10739.1240581024
70.942,2.3243,2.248,0.172669636638655,10730.7532512705
70.952,2.3519,2.2807,0.172415733877551,10714.410626914
70.962,2.3795,2.3138,0.172133176806723,10696.2256692617
70.972,2.4074,2.3459,0.171728283985594,10670.1710727675
70.982,2.4354,2.3759,0.171478840432173,10654.121713377
70.992,2.4633,2.4054,0.171151601968788,10633.0694936645
71.002,2.4914,2.4379,0.171132138247299,10631.8174247069
71.012,2.5198,2.4739,0.170806272989196,10610.856551509
71.022,2.548,2.5103,0.170482155486194,10590.0109063594
71.032,2.5762,2.5452,0.170198450084034,10571.7666652574
71.042,2.6041,2.5763,0.170055119039616,10562.5502918246
71.052,2.6319,2.6092,0.169748819879952,10542.8566890221
71.062,2.6599,2.6438,0.16953161090036,10528.8926814792
71.072,2.6881,2.6786,0.169150231932773,10504.377493845
71.082,2.7162,2.7112,0.168969481680672,10492.7601496164
71.092,2.7443,2.7429,0.168700468523409,10475.4715014647
71.102,2.7722,2.774,0.168614356110444,10469.9377283429
71.112,2.8002,2.8048,0.168156106170468,10440.4928966276
71.122,2.8278,2.8374,0.167794177959184,10417.2411609933
71.132,2.8558,2.87,0.167424565762305,10393.4993694753
71.142,2.8836,2.9005,0.167035039519808,10368.4823427653
71.152,2.9115,2.9288,0.166719046866747,10348.1909173106
71.162,2.9396,2.9575,0.166546245282113,10337.09560909
71.172,2.9678,2.9893,0.166354726242497,10324.7994104362
71.182,2.9959,3.0241,0.166290892340936,10320.7012650459
71.192,3.0241,3.0601,0.165956122256903,10299.2107511269
71.202,3.0523,3.0949,0.165845142617047,10292.087087183
71.212,3.0805,3.1288,0.165570511644658,10274.460225977
71.222,3.1086,3.1604,0.16528821454982,10256.3434110331
71.232,3.1365,3.1896,0.16494068729892,10234.0432638939
71.242,3.1642,3.2177,0.164749463913565,10221.7741987105
