Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
51.58,17.1938,12.3097,0.108005201543227,-0.483603872675705,34.3876,-48.3603872675705
51.59,17.1971,12.3107,0.108015198218126,-0.483555021077226,34.3942,-48.3555021077226
51.6,17.2005,12.3114,0.108024029843408,-0.483511862659345,34.401,-48.3511862659345
51.61,17.2038,12.3118,0.108041234432964,-0.483427786762359,34.4076,-48.3427786762359
51.62,17.2071,12.3127,0.108047758888,-0.483395902707901,34.4142,-48.3395902707901
51.63,17.2105,12.3133,0.108056714924051,-0.483352135735303,34.421,-48.3352135735303
51.64,17.2139,12.3139,0.108072877200146,-0.483273152407955,34.4278,-48.3273152407955
51.65,17.2172,12.314,0.108083120844185,-0.483223092536878,34.4344,-48.3223092536878
51.66,17.2206,12.3135,0.108095812261377,-0.483161070302929,34.4412,-48.3161070302929
51.67,17.2241,12.3131,0.108104945722298,-0.483116435399766,34.4482,-48.3116435399766
51.68,17.2274,12.3138,0.108117708535746,-0.483054063698934,34.4548,-48.3054063698933
51.69,17.2308,12.3153,0.108131714364351,-0.482985617024894,34.4616,-48.2985617024894
51.7,17.2341,12.3157,0.108143329472984,-0.482928853534433,34.4682,-48.2928853534433
51.71,17.2373,12.316,0.10815617265249,-0.482866088099736,34.4746,-48.2866088099736
51.72,17.2407,12.3167,0.108169052327705,-0.482803143977217,34.4814,-48.2803143977217
51.73,17.244,12.3181,0.108180771302723,-0.482745872012179,34.488,-48.2745872012179
51.74,17.2474,12.32,0.108191322991268,-0.482694304474253,34.4948,-48.2694304474253
51.75,17.2509,12.3223,0.108206658928781,-0.482619355263888,34.5018,-48.2619355263888
51.76,17.2542,12.3234,0.108218413794695,-0.482561907012255,34.5084,-48.2561907012255
51.77,17.2574,12.3224,0.108230155578561,-0.482504522419428,34.5148,-48.2504522419428
51.78,17.2607,12.3209,0.108246675070289,-0.482423787686612,34.5214,-48.2423787686612
51.79,17.264,12.3209,0.108253600698597,-0.482389940311642,34.528,-48.2389940311642
51.8,17.2674,12.3221,0.108265252025361,-0.482332996983756,34.5348,-48.2332996983756
51.81,17.2707,12.3217,0.108278097596147,-0.482270216733313,34.5414,-48.2270216733313
51.82,17.2741,12.322,0.108292167835649,-0.482201450772279,34.5482,-48.2201450772279
51.83,17.2774,12.3244,0.108301470115459,-0.482155987205916,34.5548,-48.2155987205916
51.84,17.2809,12.3275,0.108316741317477,-0.48208135100831,34.5618,-48.208135100831
51.85,17.2842,12.3289,0.108332000824269,-0.482006771504262,34.5684,-48.2006771504262
51.86,17.2875,12.3286,0.108338894134639,-0.481973080900503,34.575,-48.1973080900503
51.87,17.2909,12.3273,0.108349383009802,-0.481921817026737,34.5818,-48.1921817026737
51.88,17.2942,12.3268,0.10836464855265,-0.481847207026172,34.5884,-48.1847207026172
51.89,17.2976,12.3264,0.108379858211435,-0.481772869694599,34.5952,-48.1772869694599
51.9,17.3009,12.3267,0.108391460802114,-0.481716161627027,34.6018,-48.1716161627027
51.91,17.3042,12.3275,0.108405431020083,-0.481647881341347,34.6084,-48.1647881341347
51.92,17.3075,12.3292,0.108414570278151,-0.481603212453484,34.615,-48.1603212453484
51.93,17.3108,12.3308,0.108422506235351,-0.481564424663808,34.6216,-48.1564424663808
51.94,17.3141,12.3304,0.108436420210903,-0.481496418403904,34.6282,-48.1496418403904
51.95,17.3173,12.3301,0.108443138678603,-0.481463580931529,34.6346,-48.1463580931529
51.96,17.3205,12.3315,0.108461796117572,-0.481372389555408,34.641,-48.1372389555408
51.97,17.3238,12.3335,0.108470889092973,-0.481327945854136,34.6476,-48.1327945854135
51.98,17.327,12.3335,0.108487105851826,-0.48124868285347,34.654,-48.124868285347
51.99,17.3303,12.334,0.10849378090865,-0.481216056882128,34.6606,-48.1216056882128
52,17.3337,12.3347,0.10850641254067,-0.481154316450282,34.6674,-48.1154316450282
52.01,17.3372,12.3357,0.108512987984067,-0.481122177110855,34.6744,-48.1122177110855
52.02,17.3406,12.3358,0.10853145815147,-0.481031898481253,34.6812,-48.1031898481253
52.03,17.344,12.337,0.108541556188365,-0.480982540928772,34.688,-48.0982540928771
52.04,17.3474,12.3386,0.108551642149837,-0.480933242195558,34.6948,-48.0933242195558
52.05,17.3507,12.3391,0.108554471745136,-0.480919411503023,34.7014,-48.0919411503023
52.06,17.3542,12.3394,0.108571631991845,-0.480835534113866,34.7084,-48.0835534113866
52.07,17.3576,12.3406,0.108577998906768,-0.480804413187783,34.7152,-48.0804413187783
52.08,17.3609,12.3422,0.108596265843634,-0.48071512554034,34.7218,-48.071512554034
52.09,17.3642,12.3438,0.108608526723251,-0.480655194751889,34.7284,-48.0655194751889
52.1,17.3675,12.3435,0.10861839138418,-0.480606976385835,34.735,-48.0606976385835
52.11,17.3707,12.3432,0.108622253608426,-0.480588097818551,34.7414,-48.0588097818551
52.12,17.374,12.3442,0.108639248171175,-0.480505027974867,34.748,-48.0505027974867
52.13,17.3773,12.3455,0.108646643603176,-0.480468878739807,34.7546,-48.0468878739807
52.14,17.3806,12.3449,0.108663540805923,-0.480386283972179,34.7612,-48.0386283972179
