Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
55.35,18.4503,6.8118,0.180847816980765,-0.560986237657772,26.3575714285714,-56.0986237657772
55.36,18.4536,6.813,0.180836810578983,-0.561013958638949,26.3622857142857,-56.1013958638949
55.37,18.457,6.8152,0.180829565491298,-0.561032206217287,26.3671428571429,-56.1032206217287
55.38,18.4605,6.818,0.180810397217062,-0.561080483434046,26.3721428571429,-56.1080483434046
55.39,18.464,6.821,0.180809158497607,-0.561083603259736,26.3771428571429,-56.1083603259736
55.4,18.4674,6.8246,0.180801937686112,-0.561101789487112,26.382,-56.1101789487112
55.41,18.4709,6.8271,0.180787560680849,-0.561137999034347,26.387,-56.1137999034347
55.42,18.4742,6.8265,0.180770762712238,-0.561180305682503,26.3917142857143,-56.1180305682503
55.43,18.4775,6.8235,0.180750396285045,-0.561231599302869,26.3964285714286,-56.1231599302869
55.44,18.4809,6.8222,0.18071089407833,-0.561331085874792,26.4012857142857,-56.1331085874791
55.45,18.4843,6.8232,0.180691781303754,-0.561379220939996,26.4061428571429,-56.1379220939996
55.46,18.4876,6.8233,0.180671503549222,-0.561430289561918,26.4108571428571,-56.1430289561918
55.47,18.491,6.8229,0.18065609935978,-0.561469084039925,26.4157142857143,-56.1469084039925
55.48,18.4942,6.8242,0.180651453972411,-0.561480783105888,26.4202857142857,-56.1480783105888
55.49,18.4974,6.8277,0.180627844593306,-0.561540241239775,26.4248571428571,-56.1540241239775
55.5,18.5006,6.8304,0.180625802710522,-0.561545383513667,26.4294285714286,-56.1545383513667
55.51,18.5038,6.8306,0.180615405492176,-0.561571567781865,26.434,-56.1571567781865
55.52,18.5071,6.8322,0.180600187533604,-0.561609892358455,26.4387142857143,-56.1609892358455
55.53,18.5104,6.8348,0.180604067149679,-0.561600122040518,26.4434285714286,-56.1600122040518
55.54,18.5136,6.8365,0.18059715567646,-0.561617527692771,26.448,-56.1617527692771
55.55,18.5169,6.8367,0.180592690825242,-0.561628771817108,26.4527142857143,-56.1628771817108
55.56,18.5202,6.8357,0.180581009394421,-0.561658189823244,26.4574285714286,-56.1658189823244
55.57,18.5235,6.8357,0.180568100099902,-0.561690699861908,26.4621428571429,-56.1690699861908
55.58,18.527,6.8361,0.180550347249845,-0.561735407353013,26.4671428571429,-56.1735407353013
55.59,18.5306,6.8369,0.18054104614984,-0.561758830437767,26.4722857142857,-56.1758830437767
55.6,18.534,6.8382,0.180532988754658,-0.561779121410917,26.4771428571429,-56.1779121410917
55.61,18.5373,6.8409,0.180525099557658,-0.561798988744124,26.4818571428571,-56.1798988744124
55.62,18.5407,6.841,0.180504148493382,-0.561851749409643,26.4867142857143,-56.1851749409643
55.63,18.544,6.8418,0.180485667875844,-0.561898288415498,26.4914285714286,-56.1898288415498
55.64,18.5473,6.843,0.180479057621354,-0.561914934670431,26.4961428571429,-56.1914934670431
55.65,18.5508,6.8444,0.180464202654008,-0.561952342983906,26.5011428571429,-56.1952342983906
55.66,18.5542,6.8451,0.180439716471924,-0.562014004465676,26.506,-56.2014004465676
55.67,18.5575,6.8448,0.180431946532077,-0.562033570717208,26.5107142857143,-56.2033570717208
55.68,18.5607,6.8447,0.180413432498189,-0.562080192476896,26.5152857142857,-56.2080192476896
55.69,18.5639,6.8455,0.180409209622158,-0.562090826409185,26.5198571428571,-56.2090826409185
55.7,18.5669,6.8467,0.180403775017396,-0.562104511656588,26.5241428571429,-56.2104511656588
55.71,18.5701,6.8473,0.180397099741267,-0.562121321080601,26.5287142857143,-56.2121321080601
55.72,18.5734,6.8481,0.180371301713916,-0.562186284244706,26.5334285714286,-56.2186284244706
55.73,18.5769,6.8511,0.180352781310926,-0.562232920869246,26.5384285714286,-56.2232920869246
55.74,18.5802,6.8537,0.180343840104854,-0.562255435784002,26.5431428571429,-56.2255435784002
55.75,18.5835,6.8543,0.180314705478571,-0.562328799314578,26.5478571428571,-56.2328799314578
55.76,18.5869,6.8554,0.180301161042461,-0.562362905084257,26.5527142857143,-56.2362905084257
55.77,18.5903,6.8575,0.180274561238937,-0.562429884558987,26.5575714285714,-56.2429884558987
55.78,18.5937,6.8586,0.180259958204509,-0.562466655327352,26.5624285714286,-56.2466655327352
55.79,18.5974,6.8597,0.180244183353361,-0.562506376506157,26.5677142857143,-56.2506376506157
55.8,18.6008,6.8598,0.180236645640055,-0.562525356425965,26.5725714285714,-56.2525356425965
55.81,18.6043,6.8609,0.180237370971984,-0.56252353004682,26.5775714285714,-56.252353004682
55.82,18.6076,6.8623,0.180220015218526,-0.562567231524084,26.5822857142857,-56.2567231524084
55.83,18.611,6.8612,0.180218096100914,-0.562572063808633,26.5871428571429,-56.2572063808633
55.84,18.6144,6.8605,0.180235010083643,-0.562529474739997,26.592,-56.2529474739997
55.85,18.6178,6.8618,0.18021967946082,-0.562568076952889,26.5968571428571,-56.2568076952889
55.86,18.6213,6.8646,0.180213751858784,-0.562583002474776,26.6018571428571,-56.2583002474776
55.87,18.6246,6.867,0.180195795726405,-0.56262821524668,26.6065714285714,-56.262821524668
55.88,18.6277,6.8679,0.180192241647131,-0.56263716422606,26.611,-56.263716422606
55.89,18.6309,6.8691,0.180175528600217,-0.562679246597268,26.6155714285714,-56.2679246597268
55.9,18.634,6.871,0.180158867105078,-0.562721198873941,26.62,-56.2721198873941
55.91,18.6373,6.8725,0.180133885823226,-0.562784099146963,26.6247142857143,-56.2784099146963
55.92,18.6406,6.872,0.180117364751275,-0.562825697131983,26.6294285714286,-56.2825697131983
55.93,18.644,6.8721,0.180104462371826,-0.562858183505281,26.6342857142857,-56.2858183505281
55.94,18.6473,6.873,0.180074865057937,-0.56293270471381,26.639,-56.293270471381
55.95,18.6507,6.8743,0.180070134577744,-0.562944615206485,26.6438571428571,-56.2944615206485
55.96,18.6541,6.8745,0.180069920732118,-0.562945153630501,26.6487142857143,-56.2945153630501
55.97,18.6574,6.8755,0.180081324162893,-0.562916441819196,26.6534285714286,-56.2916441819196
55.98,18.6608,6.8777,0.180065023057397,-0.562957485062998,26.6582857142857,-56.2957485062998
55.99,18.6643,6.8796,0.180046203155689,-0.563004869836136,26.6632857142857,-56.3004869836136
56,18.6678,6.8793,0.180052347544279,-0.56298939952719,26.6682857142857,-56.298939952719
56.01,18.6711,6.8791,0.180014423582416,-0.563084883647305,26.673,-56.3084883647305
56.02,18.6745,6.8799,0.179994476171115,-0.563135106199347,26.6778571428571,-56.3135106199347
56.03,18.6777,6.8805,0.179982922415689,-0.56316419545219,26.6824285714286,-56.316419545219
56.04,18.6809,6.8809,0.179900352927196,-0.563372079186711,26.687,-56.3372079186711
56.05,18.6842,6.8812,0.179880295581644,-0.563422576134165,26.6917142857143,-56.3422576134165
56.06,18.6875,6.8821,0.179840180333645,-0.563523570170345,26.6964285714286,-56.3523570170345
56.07,18.6907,6.8834,0.179834671027965,-0.563537440251634,26.701,-56.3537440251634
56.08,18.6939,6.8843,0.17983146833379,-0.563545503254638,26.7055714285714,-56.3545503254638
56.09,18.697,6.8875,0.17983056431188,-0.563547779190077,26.71,-56.3547779190077
56.1,18.7003,6.8916,0.179868513013048,-0.563452240070275,26.7147142857143,-56.3452240070275
56.11,18.7037,6.8936,0.179883354683078,-0.563414874479964,26.7195714285714,-56.3414874479964
56.12,18.7071,6.8932,0.179881215142899,-0.563420261029611,26.7244285714286,-56.3420261029611
56.13,18.7106,6.8926,0.179850486806413,-0.563497622783792,26.7294285714286,-56.3497622783792
56.14,18.714,6.8935,0.179818719492742,-0.56357759923318,26.7342857142857,-56.357759923318
56.15,18.7176,6.8959,0.179821460095619,-0.563570699613976,26.7394285714286,-56.3570699613976
56.16,18.721,6.8978,0.179790689548077,-0.563648165717461,26.7442857142857,-56.3648165717461
56.17,18.7243,6.8984,0.179653468865213,-0.563993612321751,26.749,-56.3993612321751
56.18,18.7277,6.8988,0.179636352387019,-0.564036700869559,26.7538571428571,-56.4036700869559
56.19,18.7312,6.8979,0.179567197154689,-0.564210787219045,26.7588571428571,-56.4210787219045
56.2,18.7345,6.8978,0.179530676528866,-0.564302719569494,26.7635714285714,-56.4302719569494
56.21,18.7378,6.8991,0.179462526942819,-0.56447426689237,26.7682857142857,-56.447426689237
56.22,18.741,6.9024,0.179442449010461,-0.564524806487776,26.7728571428571,-56.4524806487776
56.23,18.7442,6.9049,0.179415194842008,-0.564593409225235,26.7774285714286,-56.4593409225235
56.24,18.7473,6.9059,0.179404626618081,-0.564620010785444,26.7818571428571,-56.4620010785444
56.25,18.7505,6.9069,0.179417613496394,-0.564587321148935,26.7864285714286,-56.4587321148935
56.26,18.7537,6.9082,0.179413671783931,-0.564597242962809,26.791,-56.4597242962809
56.27,18.757,6.9093,0.179407238063626,-0.564613437456593,26.7957142857143,-56.4613437456593
56.28,18.7602,6.9088,0.179496795952326,-0.564388004952114,26.8002857142857,-56.4388004952114
56.29,18.7635,6.9081,0.179502158614121,-0.564374505950501,26.805,-56.4374505950501
56.3,18.7668,6.9092,0.179526321496949,-0.564313682276632,26.8097142857143,-56.4313682276632
56.31,18.7701,6.9113,0.179478955437936,-0.564432913242532,26.8144285714286,-56.4432913242532
56.32,18.7735,6.9135,0.17950925167794,-0.564356651099497,26.8192857142857,-56.4356651099497
56.33,18.7771,6.9165,0.179448991859985,-0.564508337060875,26.8244285714286,-56.4508337060875
56.34,18.7805,6.9181,0.179430659776511,-0.564554481813131,26.8292857142857,-56.4554481813131
56.35,18.7841,6.9174,0.179439832406361,-0.564531392897553,26.8344285714286,-56.4531392897553
